Aikaleima,Nimimerkki,Tunnen itseni onnelliseksi,Nukuin riittavasti viime yona,Koen usein rauhan tunnetta,"Tunnen useamman kerran paivassa iloa, tyytyvaisyytta tai merkityksellisyytta","Minulla on aikaa laheisilleni, ystavilleni ja muille tutuilleni",Minulle on tarkeaa viettaa kahvi- ja lounastauko tyokavereiden seurassa,Tunnen hallitsevani omaa elamaani,"Tiesin aamulla, mita tulen tekemaan paivan aikana",,
1.6.2020,123098,4,3,,,,,,,,
1.6.2020,9253,4,5,,,,,,,,
1.6.2020,222426,4,1,,,,,,,,
1.6.2020,145789,4,4,,,,,,,,
1.6.2020,21084,4,2,,,,,,,,
1.6.2020,7968,5,4,,,,,,,,
1.6.2020,2905202010,4,2,,,,,,,,
1.6.2020,029,3,3,,,,,,,,
1.6.2020,1500,3,2,,,,,,,,
1.6.2020,369369,3,3,,,,,,,,
2.6.2020,290520,3,4,,,,,,,,
2.6.2020,0907,1,1,,,,,,,,
2.6.2020,34725,4,4,,,,,,,,
3.6.2020,7469,2,2,,,,,,,,
2.6.2020,123098,,,3,4,,,,,,
2.6.2020,123098,,,3,4,,,,,,
2.6.2020,029,,,4,3,,,,,,
2.6.2020,145789,,,3,4,,,,,,
2.6.2020,21084,,,4,5,,,,,,
2.6.2020,1500,,,3,3,,,,,,
2.6.2020,222426,,,3,3,,,,,,
2.6.2020,9253,,,4,4,,,,,,
2.6.2020,0907,,,1,2,,,,,,
2.6.2020,369369,,,3,3,,,,,,
2.6.2020,34725,,,3,4,,,,,,
2.6.2020,7968,,,4,4,,,,,,
2.6.2020,2905202010,,,4,5,,,,,,
3.6.2020,290520,,,4,4,,,,,,
3.6.2020,123098,,,,,3,4,,,,
3.6.2020,145789,,,,,5,3,,,,
3.6.2020,369369,,,,,3,4,,,,
3.6.2020,029,,,,,4,3,,,,
3.6.2020,0907,,,,,4,4,,,,
3.6.2020,2905202010,,,,,4,2,,,,
3.6.2020,1500,,,,,4,4,,,,
3.6.2020,222426,,,,,5,4,,,,
3.6.2020,7968,,,,,4,4,,,,
3.6.2020,9253,,,,,5,4,,,,
3.6.2020,34725,,,,,4,3,,,,
4.6.2020,21084,,,,,3,1,,,,
4.6.2020,123098,,,,,,,4,4,,
4.6.2020,029,,,,,,,4,4,,
4.6.2020,21084,,,,,,,3,4,,
4.6.2020,145789,,,,,,,4,4,,
4.6.2020,2905202010,,,,,,,3,4,,
4.6.2020,222426,,,,,,,3,4,,
4.6.2020,9253,,,,,,,3,3,,
4.6.2020,0907,,,,,,,1,3,,
4.6.2020,7968,,,,,,,5,3,,
4.6.2020,369369,,,,,,,3,4,,
4.6.2020,1500,,,,,,,3,3,,
6.6.2020,290520,,,,,,,4,2,,
6.6.2020,0704,,,,,,,3,4,,
5.6.2020,123098,,,,,,,,,4,3
5.6.2020,7968,,,,,,,,,4,4
5.6.2020,145789,,,,,,,,,2,4
5.6.2020,2905202010,,,,,,,,,3,3
5.6.2020,029,,,,,,,,,4,2
5.6.2020,1500,,,,,,,,,3,3
5.6.2020,21084,,,,,,,,,4,2
5.6.2020,9253,,,,,,,,,3,3
5.6.2020,0907,,,,,,,,,1,3
6.6.2020,369369,,,,,,,,,4,3
6.6.2020,222426,,,,,,,,,4,4
6.6.2020,290520,,,,,,,,,4,2
